int	int	int	string	int	int	int	int	int	int	int[]	int[]	string
1011	1003	5	理查德	2107	2	0	0	1401	0	1943;1920;1907;1923;1930	1601;1602	一个风景秀丽的小岛上，一对情侣下海游泳，女孩不幸被大白鲨袭击，支离破碎的尸体令人惨不忍睹。当地官员却不愿意封场调查，怕影响旅游收入。于是请来了生物学家理查德（主角）进行评估。理查德断定这是只非比寻常的巨大白鲨。但当地官员忽视了他的警告，直到越来越多的人葬身鲨口，事态已经十分严重，当地一个熟练捕鱼手汉克（配角）、警察杰姆（配角）和理查德三人决心要捕杀大白鲨，凶险重重的搏斗开始了，谁才是最后的胜者？要获得这场战斗的胜利，又要付出怎样的代价？
1012	1004	1	汉克	2102	2	1102	1201	1401	0	1915;1930;1911;1922;1935	1601;1603	一个风景秀丽的小岛上，一对情侣下海游泳，女孩不幸被大白鲨袭击，支离破碎的尸体令人惨不忍睹。当地官员却不愿意封场调查，怕影响旅游收入。于是请来了生物学家理查德（主角）进行评估。理查德断定这是只非比寻常的巨大白鲨。但当地官员忽视了他的警告，直到越来越多的人葬身鲨口，事态已经十分严重，当地一个熟练捕鱼手汉克（配角）、警察杰姆（配角）和理查德三人决心要捕杀大白鲨，凶险重重的搏斗开始了，谁才是最后的胜者？要获得这场战斗的胜利，又要付出怎样的代价？
1013	1004	2	杰姆	2103	1	1101	1201	0	1501	1904;1928;1932;1935;1940	1605;1601	一个风景秀丽的小岛上，一对情侣下海游泳，女孩不幸被大白鲨袭击，支离破碎的尸体令人惨不忍睹。当地官员却不愿意封场调查，怕影响旅游收入。于是请来了生物学家理查德（主角）进行评估。理查德断定这是只非比寻常的巨大白鲨。但当地官员忽视了他的警告，直到越来越多的人葬身鲨口，事态已经十分严重，当地一个熟练捕鱼手汉克（配角）、警察杰姆（配角）和理查德三人决心要捕杀大白鲨，凶险重重的搏斗开始了，谁才是最后的胜者？要获得这场战斗的胜利，又要付出怎样的代价？
1014	1004	3	马库斯	2105	2	1102	0	1401	0	1930;1920;1929;1945;1902	1602;1604	在一个明媚的日子里，几个大学同学马库斯（主角）、内特（主角）、安娜（主角）以及克里斯（主角）等5人驱车前往位于深山老林的小木屋中度假。他们不知道的是，自己的一举一动都在一个神秘机构的监视之下，甚至会不自觉的被引诱进某些陷阱。“无意”之中，安娜用拉丁文念出一段咒语，在此之后，长眠泥土之下的丧尸爬了出来，对年轻人们展开血腥大屠杀。而镜头的另一边，神秘机构的成员正在饶有兴致的观赏他们的“表演”。
1015	1004	4	内特	2104	2	0	0	0	0	1915;1940;1943;1930;1920	1601;1603	在一个明媚的日子里，几个大学同学马库斯（主角）、内特（主角）、安娜（主角）以及克里斯（主角）等5人驱车前往位于深山老林的小木屋中度假。他们不知道的是，自己的一举一动都在一个神秘机构的监视之下，甚至会不自觉的被引诱进某些陷阱。“无意”之中，安娜用拉丁文念出一段咒语，在此之后，长眠泥土之下的丧尸爬了出来，对年轻人们展开血腥大屠杀。而镜头的另一边，神秘机构的成员正在饶有兴致的观赏他们的“表演”。
1016	1004	5	安娜	2104	2	0	0	1402	1501	1914;1928;1926;1931;1907	1602;1601	在一个明媚的日子里，几个大学同学马库斯（主角）、内特（主角）、安娜（主角）以及克里斯（主角）等5人驱车前往位于深山老林的小木屋中度假。他们不知道的是，自己的一举一动都在一个神秘机构的监视之下，甚至会不自觉的被引诱进某些陷阱。“无意”之中，安娜用拉丁文念出一段咒语，在此之后，长眠泥土之下的丧尸爬了出来，对年轻人们展开血腥大屠杀。而镜头的另一边，神秘机构的成员正在饶有兴致的观赏他们的“表演”。
1017	1005	1	克里斯	2102	2	1102	1202	0	0	1915;1921;1922;1910;1927	1603;1604	在一个明媚的日子里，几个大学同学马库斯（主角）、内特（主角）、安娜（主角）以及克里斯（主角）等5人驱车前往位于深山老林的小木屋中度假。他们不知道的是，自己的一举一动都在一个神秘机构的监视之下，甚至会不自觉的被引诱进某些陷阱。“无意”之中，安娜用拉丁文念出一段咒语，在此之后，长眠泥土之下的丧尸爬了出来，对年轻人们展开血腥大屠杀。而镜头的另一边，神秘机构的成员正在饶有兴致的观赏他们的“表演”。
1018	1005	2	汤姆	2101	2	0	0	0	0	1902;1903;1944;1931;1942	1601;1603	妻子度假期间，丈夫汤姆（主角）因为一次花盆事件，结识了邻居露娜（主角）。露娜的举手投足都深深吸引着汤姆，他求教于心理医生杰瑞（配角），对方指出他的病症，引诱他付高价诊治。汤姆没有理会，但露娜因为天气炎热希望能来他家里吹空调，由此闹出一系列故事...
1019	1005	3	露娜	2107	2	0	0	0	0	1901;1930;1920;1943;1923	1602;1604	妻子度假期间，丈夫汤姆（主角）因为一次花盆事件，结识了邻居露娜（主角）。露娜的举手投足都深深吸引着汤姆，他求教于心理医生杰瑞（配角），对方指出他的病症，引诱他付高价诊治。汤姆没有理会，但露娜因为天气炎热希望能来他家里吹空调，由此闹出一系列故事...
1020	1006	1	杰瑞	2102	2	1102	0	1401	1502	1901;1928;1925;1910;1931	1602;1603	妻子度假期间，丈夫汤姆（主角）因为一次花盆事件，结识了邻居露娜（主角）。露娜的举手投足都深深吸引着汤姆，他求教于心理医生杰瑞（配角），对方指出他的病症，引诱他付高价诊治。汤姆没有理会，但露娜因为天气炎热希望能来他家里吹空调，由此闹出一系列故事...
1021	1006	2	维多利亚	2102	2	1102	1201	0	0	1901;1928;1925;1902;1907	1603;1602	著名影星维多利亚（主角）的演艺事业正当红，一天她来到一家书店并邂逅了刚刚失恋的老板瑞克（主角）。瑞克认出了维多利亚，同时也发现自己被她所吸引。两人随着相处时间增多逐渐坠入爱河，但这一恋情却被狗仔队文森（配角）所发现并曝光。他们的关系也面临着考验。
1022	1006	3	瑞克	2105	2	1102	0	1401	0	1901;1928;1925;1934;1921	1602;1601	著名影星维多利亚（主角）的演艺事业正当红，一天她来到一家书店并邂逅了刚刚失恋的老板瑞克（主角）。瑞克认出了维多利亚，同时也发现自己被她所吸引。两人随着相处时间增多逐渐坠入爱河，但这一恋情却被狗仔队文森（配角）所发现并曝光。他们的关系也面临着考验。
1023	1006	4	文森	2105	2	1102	0	0	1502	1901;1928;1925;1907;1934	1603;1601	著名影星维多利亚（主角）的演艺事业正当红，一天她来到一家书店并邂逅了刚刚失恋的老板瑞克（主角）。瑞克认出了维多利亚，同时也发现自己被她所吸引。两人随着相处时间增多逐渐坠入爱河，但这一恋情却被狗仔队文森（配角）所发现并曝光。他们的关系也面临着考验。
1024	1006	5	塔克	2104	2	0	0	0	0	1901;1928;1925;1945;1931	1605;1602	塔克（主角）从退伍之后一直开出租车为生，战争的后遗症加上目睹的社会黑暗让他变得愤世嫉俗。在追求一位漂亮的女秘书贝蒂（配角）失败后，塔克决定去刺杀总统来证明自己的男子气魄。但在准备行刺的过程中他遇上了被逼卖淫的少女爱丽丝（主角）。塔克一怒之下把逼迫爱丽丝卖淫的那帮人都干掉了，本以为会被通缉，没想到媒体却把他形容为端掉了卖淫团伙的英雄…
1025	1007	1	贝蒂	2101	2	0	1202	0	0	1901;1902;1925;1907;1934	1601;1602	塔克（主角）从退伍之后一直开出租车为生，战争的后遗症加上目睹的社会黑暗让他变得愤世嫉俗。在追求一位漂亮的女秘书贝蒂（配角）失败后，塔克决定去刺杀总统来证明自己的男子气魄。但在准备行刺的过程中他遇上了被逼卖淫的少女爱丽丝（主角）。塔克一怒之下把逼迫爱丽丝卖淫的那帮人都干掉了，本以为会被通缉，没想到媒体却把他形容为端掉了卖淫团伙的英雄…
1026	1007	2	爱丽丝	2104	2	0	0	0	1501	1901;1902;1925;1907;1934	1601;1603	塔克（主角）从退伍之后一直开出租车为生，战争的后遗症加上目睹的社会黑暗让他变得愤世嫉俗。在追求一位漂亮的女秘书贝蒂（配角）失败后，塔克决定去刺杀总统来证明自己的男子气魄。但在准备行刺的过程中他遇上了被逼卖淫的少女爱丽丝（主角）。塔克一怒之下把逼迫爱丽丝卖淫的那帮人都干掉了，本以为会被通缉，没想到媒体却把他形容为端掉了卖淫团伙的英雄…
1027	1007	3	爱丽	2104	2	0	0	0	0	1901;1902;1925;1907;1934	1605;1601	来自于小镇的年轻女孩爱丽（主角）应聘成为了一名看护，她所要照顾的对象，是一位名叫卡尔（主角）的男子。曾经的卡尔喜欢周游世界寻求冒险，然而，一场意外车祸使他下半身瘫痪，只能靠着护工威廉（配角）的照料在轮椅上度过余生。爱丽在照顾卡尔的过程中慢慢为他所吸引，而卡尔也被爱丽的热情开朗与对生活的信心所感染，开始认真思考起了未来…
1028	1008	1	卡尔	2101	2	0	1201	0	0	1902;1903;1935;1944;1931	1603;1604	来自于小镇的年轻女孩爱丽（主角）应聘成为了一名看护，她所要照顾的对象，是一位名叫卡尔（主角）的男子。曾经的卡尔喜欢周游世界寻求冒险，然而，一场意外车祸使他下半身瘫痪，只能靠着护工威廉（配角）的照料在轮椅上度过余生。爱丽在照顾卡尔的过程中慢慢为他所吸引，而卡尔也被爱丽的热情开朗与对生活的信心所感染，开始认真思考起了未来…
1029	1008	2	威廉	2101	2	0	0	0	0	1928;1903;1907;1921;1934	1602;1603	来自于小镇的年轻女孩爱丽（主角）应聘成为了一名看护，她所要照顾的对象，是一位名叫卡尔（主角）的男子。曾经的卡尔喜欢周游世界寻求冒险，然而，一场意外车祸使他下半身瘫痪，只能靠着护工威廉（配角）的照料在轮椅上度过余生。爱丽在照顾卡尔的过程中慢慢为他所吸引，而卡尔也被爱丽的热情开朗与对生活的信心所感染，开始认真思考起了未来…
1030	1008	3	保罗	2104	2	0	0	0	0	1901;1909;1910;1934;1925	1601;1603	在一个荒无人烟的小岛上，不善于和人沟通的保罗（主角）对人生早已绝望，决定亲手了结自己的性命。但关键时刻，一具尸体漂到沙滩上。这具尸体仿佛有生命一般，帮他解决了诸如砍树，射箭等现实问题。保罗大喜过望，给尸体取名为丹（主角）。丹的出现让保罗又有了生活下去的希望，这对奇妙的朋友将要踏上的会是怎样的旅程呢？
1031	1009	1	丹	2101	2	0	0	0	0	1901;1925;1934;1935;1921	1602;1601	在一个荒无人烟的小岛上，不善于和人沟通的保罗（主角）对人生早已绝望，决定亲手了结自己的性命。但关键时刻，一具尸体漂到沙滩上。这具尸体仿佛有生命一般，帮他解决了诸如砍树，射箭等现实问题。保罗大喜过望，给尸体取名为丹（主角）。丹的出现让保罗又有了生活下去的希望，这对奇妙的朋友将要踏上的会是怎样的旅程呢？
1032	1009	2	迈克	2101	2	0	0	0	0	1902;1904;1945;1932;1909	1603;1604	17岁的迈克（主角）是校园风云人物，在一次关键性的篮球冠军赛上，他决定放弃前途，向怀有身孕的女友萨曼莎求婚。20年后，人到中年的迈克生活事业两失意，妻子决定与迈克分居，儿女也十分疏远他，迈克只好搬入铁哥们内特（配角）家暂住。迈克回想自己的人生轨迹，遗憾自己当年做出的选择。当他在漫步时突然遭到冲击，醒来发现自己竟然回到了17岁的身体！现在，上天给了他一次重新选择的机会，他会如何抉择呢？
1033	1010	1	内特	2102	2	1102	1202	1401	1501	1901;1925;1928;1922;1935	1602;1603	17岁的迈克（主角）是校园风云人物，在一次关键性的篮球冠军赛上，他决定放弃前途，向怀有身孕的女友萨曼莎求婚。20年后，人到中年的迈克生活事业两失意，妻子决定与迈克分居，儿女也十分疏远他，迈克只好搬入铁哥们内特（配角）家暂住。迈克回想自己的人生轨迹，遗憾自己当年做出的选择。当他在漫步时突然遭到冲击，醒来发现自己竟然回到了17岁的身体！现在，上天给了他一次重新选择的机会，他会如何抉择呢？
1034	1010	2	拉尔夫	2103	1	1101	1202	1402	1501	1901;1902;1904;1935;1903	1601;1602	拉尔夫（主角）的母亲怀孕时被吸血鬼咬伤了，生下他后就去世了，由此他带上了一半吸血鬼的血，却没有一般吸血鬼的弱点。拉尔夫自幼在武器专家阿尔文（配角）家长大，阿尔文为他打造威力最强大的对付吸血鬼的武器并为他注射药物以免他变为吸血鬼。 在拉尔夫一次次猎杀吸血鬼保护人类之后，吸血鬼王斯蒂芬（反派）发誓要除掉这个心头大患。他劝说拉尔夫加入吸血鬼阵营失败之后便想出了新的阴谋，而拉尔夫在战斗中受到了致命伤，为了疗伤，他不得不做出抉择——要不要直接吸活人的血液？
1035	1010	3	阿尔文	2105	2	1102	1202	0	0	1901;1927;1931;1910;1928	1602;1605	拉尔夫（主角）的母亲怀孕时被吸血鬼咬伤了，生下他后就去世了，由此他带上了一半吸血鬼的血，却没有一般吸血鬼的弱点。拉尔夫自幼在武器专家阿尔文（配角）家长大，阿尔文为他打造威力最强大的对付吸血鬼的武器并为他注射药物以免他变为吸血鬼。 在拉尔夫一次次猎杀吸血鬼保护人类之后，吸血鬼王斯蒂芬（反派）发誓要除掉这个心头大患。他劝说拉尔夫加入吸血鬼阵营失败之后便想出了新的阴谋，而拉尔夫在战斗中受到了致命伤，为了疗伤，他不得不做出抉择——要不要直接吸活人的血液？
1036	1010	4	斯蒂芬	2104	2	0	0	0	0	1901;1910;1941;1921;1930	1601;1603	拉尔夫（主角）的母亲怀孕时被吸血鬼咬伤了，生下他后就去世了，由此他带上了一半吸血鬼的血，却没有一般吸血鬼的弱点。拉尔夫自幼在武器专家阿尔文（配角）家长大，阿尔文为他打造威力最强大的对付吸血鬼的武器并为他注射药物以免他变为吸血鬼。 在拉尔夫一次次猎杀吸血鬼保护人类之后，吸血鬼王斯蒂芬（反派）发誓要除掉这个心头大患。他劝说拉尔夫加入吸血鬼阵营失败之后便想出了新的阴谋，而拉尔夫在战斗中受到了致命伤，为了疗伤，他不得不做出抉择——要不要直接吸活人的血液？
1037	1010	5	希瑟	2107	2	1102	0	1401	1502	1901;1925;1923;1920;1922	1604;1602	维京岛国的少年希瑟（主角）是部落统领的儿子，他非常想像自己的父亲一样亲手屠龙——这些飞龙是岛上维京人放牧羊群的主要天敌——但他每次出现在部落屠龙的战斗中都只给大家徒添麻烦。在又一次的战斗中，希瑟用射龙器击伤了一只黑龙，找到它之后希瑟却不忍心伤害它，而是给它疗伤，喂食，慢慢的与黑龙成为了朋友，还给它起名“库洛”（主角）。但希瑟的秘密被部族中的女孩莉丝（主角）发现了，希瑟带她体验了骑在龙背上飞翔的快感，并寄希望于说服自己的父亲让大家能够接受与龙和平共处。然而就在此时，一场由邪恶的熔岩龙（反派）引发的大危机发生了…
1038	1011	1	莉丝	2102	2	1102	0	1402	0	1901;1928;1934;1931;1902	1601;1602	维京岛国的少年希瑟（主角）是部落统领的儿子，他非常想像自己的父亲一样亲手屠龙——这些飞龙是岛上维京人放牧羊群的主要天敌——但他每次出现在部落屠龙的战斗中都只给大家徒添麻烦。在又一次的战斗中，希瑟用射龙器击伤了一只黑龙，找到它之后希瑟却不忍心伤害它，而是给它疗伤，喂食，慢慢的与黑龙成为了朋友，还给它起名“库洛”（主角）。但希瑟的秘密被部族中的女孩莉丝（主角）发现了，希瑟带她体验了骑在龙背上飞翔的快感，并寄希望于说服自己的父亲让大家能够接受与龙和平共处。然而就在此时，一场由邪恶的熔岩龙（反派）引发的大危机发生了…
1039	1011	2	库洛	2103	1	1101	0	0	1501	1904;1928;1931;1941;1945	1602;1601	维京岛国的少年希瑟（主角）是部落统领的儿子，他非常想像自己的父亲一样亲手屠龙——这些飞龙是岛上维京人放牧羊群的主要天敌——但他每次出现在部落屠龙的战斗中都只给大家徒添麻烦。在又一次的战斗中，希瑟用射龙器击伤了一只黑龙，找到它之后希瑟却不忍心伤害它，而是给它疗伤，喂食，慢慢的与黑龙成为了朋友，还给它起名“库洛”（主角）。但希瑟的秘密被部族中的女孩莉丝（主角）发现了，希瑟带她体验了骑在龙背上飞翔的快感，并寄希望于说服自己的父亲让大家能够接受与龙和平共处。然而就在此时，一场由邪恶的熔岩龙（反派）引发的大危机发生了…
1040	1011	3	熔岩龙	2104	2	0	0	1401	0	1901;1907;1934;1928;1910	1601;1603	维京岛国的少年希瑟（主角）是部落统领的儿子，他非常想像自己的父亲一样亲手屠龙——这些飞龙是岛上维京人放牧羊群的主要天敌——但他每次出现在部落屠龙的战斗中都只给大家徒添麻烦。在又一次的战斗中，希瑟用射龙器击伤了一只黑龙，找到它之后希瑟却不忍心伤害它，而是给它疗伤，喂食，慢慢的与黑龙成为了朋友，还给它起名“库洛”（主角）。但希瑟的秘密被部族中的女孩莉丝（主角）发现了，希瑟带她体验了骑在龙背上飞翔的快感，并寄希望于说服自己的父亲让大家能够接受与龙和平共处。然而就在此时，一场由邪恶的熔岩龙（反派）引发的大危机发生了…
1041	1011	4	沃尔特	2104	2	0	1201	0	0	1903;1927;1917;1930;1931	1601;1605	特种兵沃尔特（主角）得了不治之症，为了能跟女友莎拉（主角）继续厮守而自愿加入“X计划”获得了快速自愈能力。然而这却造成了他的毁容，并且被计划负责人斯坦（反派）当做失败品而肆意折磨。在终于成功逃脱之后，沃尔特在老朋友格兰特（配角）的帮助下开始了他的复仇之旅。
1042	1011	5	莎拉	2104	2	0	0	0	0	1902;1904;1932;1935;1908	1602;1603	特种兵沃尔特（主角）得了不治之症，为了能跟女友莎拉（主角）继续厮守而自愿加入“X计划”获得了快速自愈能力。然而这却造成了他的毁容，并且被计划负责人斯坦（反派）当做失败品而肆意折磨。在终于成功逃脱之后，沃尔特在老朋友格兰特（配角）的帮助下开始了他的复仇之旅。
1043	1012	1	格兰特	2102	2	1102	1201	1401	0	1901;1907;1928;1931;1935	1603;1602	特种兵沃尔特（主角）得了不治之症，为了能跟女友莎拉（主角）继续厮守而自愿加入“X计划”获得了快速自愈能力。然而这却造成了他的毁容，并且被计划负责人斯坦（反派）当做失败品而肆意折磨。在终于成功逃脱之后，沃尔特在老朋友格兰特（配角）的帮助下开始了他的复仇之旅。
1044	1012	2	斯坦	2101	2	0	0	0	0	1901;1907;1931;1935;1927	1601;1603	特种兵沃尔特（主角）得了不治之症，为了能跟女友莎拉（主角）继续厮守而自愿加入“X计划”获得了快速自愈能力。然而这却造成了他的毁容，并且被计划负责人斯坦（反派）当做失败品而肆意折磨。在终于成功逃脱之后，沃尔特在老朋友格兰特（配角）的帮助下开始了他的复仇之旅。
1045	1012	3	卡尔	2103	1	1101	0	1402	0	1902;1904;1932;1931;1939	1603;1605	卡尔（主角）自小目睹自己的父亲阿里（配角）杀了自己的母亲，并因此在阴影下长大。成人后的卡尔因自己的罪行被宣判死刑，正当死刑准备执行之际不明组织救下了他，把他带到了一个秘密的实验基地。露西（主角）告诉他，为了实现人类的终极和平，她和实验负责人卢克（反派）希望能找到一件名为伊甸苹果的神器，而借助卡尔的血源他们也许能够获得关于这件神器的下落的线索。卡尔进行了实验，却在实验过程中慢慢的了解到整件事背后的阴谋。
1046	1012	4	露西	2105	2	1102	0	0	1502	1941;1910;1901;1934;1907	1602;1601	卡尔（主角）自小目睹自己的父亲阿里（配角）杀了自己的母亲，并因此在阴影下长大。成人后的卡尔因自己的罪行被宣判死刑，正当死刑准备执行之际不明组织救下了他，把他带到了一个秘密的实验基地。露西（主角）告诉他，为了实现人类的终极和平，她和实验负责人卢克（反派）希望能找到一件名为伊甸苹果的神器，而借助卡尔的血源他们也许能够获得关于这件神器的下落的线索。卡尔进行了实验，却在实验过程中慢慢的了解到整件事背后的阴谋。
1047	1013	1	阿里	2102	2	1102	0	1402	0	1902;1903;1927;1907;1934	1601;1602	卡尔（主角）自小目睹自己的父亲阿里（配角）杀了自己的母亲，并因此在阴影下长大。成人后的卡尔因自己的罪行被宣判死刑，正当死刑准备执行之际不明组织救下了他，把他带到了一个秘密的实验基地。露西（主角）告诉他，为了实现人类的终极和平，她和实验负责人卢克（反派）希望能找到一件名为伊甸苹果的神器，而借助卡尔的血源他们也许能够获得关于这件神器的下落的线索。卡尔进行了实验，却在实验过程中慢慢的了解到整件事背后的阴谋。
1048	1013	2	卢克	2103	1	1101	0	1402	1501	1904;1922;1902;1932;1903	1603;1601	卡尔（主角）自小目睹自己的父亲阿里（配角）杀了自己的母亲，并因此在阴影下长大。成人后的卡尔因自己的罪行被宣判死刑，正当死刑准备执行之际不明组织救下了他，把他带到了一个秘密的实验基地。露西（主角）告诉他，为了实现人类的终极和平，她和实验负责人卢克（反派）希望能找到一件名为伊甸苹果的神器，而借助卡尔的血源他们也许能够获得关于这件神器的下落的线索。卡尔进行了实验，却在实验过程中慢慢的了解到整件事背后的阴谋。
1049	1013	3	罗伊斯	2104	2	0	0	0	0	1941;1915;1934;1934;1940	1601;1605	一个迷恋酒精、女人、可卡因的电工罗伊斯（主角）发现自己竟然患上了艾滋病，为了活命，他在医生萨曼莎（主角）和异装癖同性恋杰瑞（主角）的帮助下穿越国界冒险运送违禁药品，并且将之分发帮助更多人，包括他曾经极端厌恶的同性恋者。慢慢的，这群处在边缘的为自己的生命而战的人群建立起了一个续命俱乐部…
1050	1013	4	萨曼莎	2104	2	0	0	1401	1501	1907;1926;1902;1930;1920	1601;1602	一个迷恋酒精、女人、可卡因的电工罗伊斯（主角）发现自己竟然患上了艾滋病，为了活命，他在医生萨曼莎（主角）和异装癖同性恋杰瑞（主角）的帮助下穿越国界冒险运送违禁药品，并且将之分发帮助更多人，包括他曾经极端厌恶的同性恋者。慢慢的，这群处在边缘的为自己的生命而战的人群建立起了一个续命俱乐部…
1051	1014	1	杰瑞	2101	2	0	0	1401	0	1941;1934;1926;1931;1910	1603;1602	一个迷恋酒精、女人、可卡因的电工罗伊斯（主角）发现自己竟然患上了艾滋病，为了活命，他在医生萨曼莎（主角）和异装癖同性恋杰瑞（主角）的帮助下穿越国界冒险运送违禁药品，并且将之分发帮助更多人，包括他曾经极端厌恶的同性恋者。慢慢的，这群处在边缘的为自己的生命而战的人群建立起了一个续命俱乐部…
1052	1014	2	弗兰克	2101	2	0	1203	0	0	1944;1942;1902;1903;1908	1602;1605	弗兰克（主角）穷困潦倒，妻子海伦（配角）最终选择离开。从此他带着女儿妮娜（主角）相依为命。弗兰克四处寻找，终于用自己的机敏在证券公司董事长库曼（配角）面前为自己争取到了一个在证券公司实习的机会。即使生活面对种种困难，他仍然怀抱希望，相信幸福就在明天。
1053	1014	3	妮娜	2104	2	0	0	0	0	1907;1926;1934;1930;1935	1603;1601	弗兰克（主角）穷困潦倒，妻子海伦（配角）最终选择离开。从此他带着女儿妮娜（主角）相依为命。弗兰克四处寻找，终于用自己的机敏在证券公司董事长库曼（配角）面前为自己争取到了一个在证券公司实习的机会。即使生活面对种种困难，他仍然怀抱希望，相信幸福就在明天。
1054	1014	4	库曼	2107	2	0	0	0	0	1923;1930;1943;1920;1910	1603;1601	弗兰克（主角）穷困潦倒，妻子海伦（配角）最终选择离开。从此他带着女儿妮娜（主角）相依为命。弗兰克四处寻找，终于用自己的机敏在证券公司董事长库曼（配角）面前为自己争取到了一个在证券公司实习的机会。即使生活面对种种困难，他仍然怀抱希望，相信幸福就在明天。
1055	1015	1	海伦	2102	2	1102	0	0	0	1902;1903;1906;1922;1935	1602;1603	弗兰克（主角）穷困潦倒，妻子海伦（配角）最终选择离开。从此他带着女儿妮娜（主角）相依为命。弗兰克四处寻找，终于用自己的机敏在证券公司董事长库曼（配角）面前为自己争取到了一个在证券公司实习的机会。即使生活面对种种困难，他仍然怀抱希望，相信幸福就在明天。
