int	string	string
1145	Bob Tron	Bob is a store clerk who has been trying to court Dariah for a year. He has had some success but it seems she has lost interest.
1146	Mikel Vrotsky	Mikel is a Russian refugee who has become friends with Carry and is actively trying to destroy the relationship out of jealousy.
1147	Jimmy Gene	Jimmy is a successful lawyer who travels a lot for work. Lonely in his hotel room, he decides to go down to the bar where he meets Rain.
1148	Rain Julis	Rain is a professional comedian who specializes in comedy that challenges people's core beliefs. After bombing a show, she stops by the hotel bar.
1149	Larry Goom	Larry is Jimmy's friend and does not approve of his relationship with Rain. He tries to get involved by sabotaging her shows.
1150	Ann Strong	Ann has struggled to find a job that she really cares about but has always had a tender heart.
1151	Shifty McGuff	Shifty was paralyzed during a boating accident. He struggles with finding a reason to keep on going and just wants to watch TV all the time.
1152	Steve Foss	Steve is Shifty's best friend and wants him to find the positive side of life. He is the one who hires Ann and asks her to take care of him.
1153	Bob Dream	Bob is a stock trader who pursues his goal to get rich quick by convincing people to buy stocks that will give his personal company an advantage.
1154	Kimmy Ailes	Kimmy is Leo's beautiful wife. She loves her husband's wealth but despises his personality.
1155	Toadie Ford	Toadie is an overweight man who wants to fit in with the cool guys. He has a way with numbers and discovers Bob's plan and decides to become involved.
1156	George Kanid	George is a rival company's CEO. He feels like something is not right with Bob's success but can't quite figure it out.
1157	Mia Ports	Mia is a ballerina dancer used to playing smaller roles. When she is cast as the lead in a huge ballet, the pressure becomes too much.
1158	Heather Knoles	Heather is the hot new dancer of the company. She is young, talented and ambitious.
1159	Danny Savoy	Danny is the company director and wants to put on the best show possible. He is sexual and dominating in his demeanor, but very talented.
1160	Catherine Ends	Catherine Ends is Heather's role model and used to be a very successful dancer. She is ravaged by what age has done to her.
1161	Wilma Ports	Wilma is Mia's sister and jealous of her success. She blames her for stealing her dreams and putting her in the shadows.
1162	Ophelia Jones	Ophelia is a strong, independent woman forced into being the forced breeder of a wealthy family. She wants to break free but feels hopeless.
1163	Father June	Father June is the man in charge of all the handmaids. He is a strict religious man who thinks the ends justifies the means.
1164	Zuri Strong	Zuri is another independent woman who keeps getting in trouble by fighting back. She is continually tortured but the government refuses to kill her.
1165	Tox Victru	A police enforcer tasked with torturing Zuri. When he is asked to do the same to Ophelia, he is faced with following his own morals or the law.
1166	Arnie Manford	Arnie is an eccentric lad who always thought he could talk his way out of any problem. Alone on an island, he won't have anybody to talk to.
1167	Gabriel Viltor	Gabriel had died but was slowly coming back to life after developing superpowers. Arnie befriends him after the shock of finding a living dead man.
1168	Modo Fraggins	Modo has always dreamed of adventure. When he is given a mysterious rose bush, he answers the call and begins his journey.
1169	Vanhansen	Vanhansen is an ancient wizard with deep knowledge. He knows the bush must be destroyed but cannot do it himself.
1170	Cambra Siltor	A dark elf, nimble and skilled with a crossbow. He is set on finding the assassin the killed his brother.
1171	Rigo Welter	A human turned to the streets after getting kicked out of his kingdom. With nothing left to fight for, he decides to protect the innocent.
1172	Boron	Boron is an evil beast bent on taking over the entire world. He needs his rose bushes to do it.
1173	Larry Motter	Larry is a poor child bullied by his relatives. He dreams of becoming a wizard but does not know how to go about it.
1174	Will Quigley	Will Quigley quickly befriends Larry at the school of magic. Together they vow to have fun at all costs.
1175	Henrietta Rangel	Henrietta is super popular bus her best friends are Larry and Will. She is the smartest kid in school and well respected for it.
1176	Boldefort	Boldefort is an evil dude who killed Larry's brother when he was a baby. Little does he know Larry is his kryptonite.
1177	Tosh King	Tosh is a troubled man whose entire life is disrupted when he discovers his time-traveling prowess.
1178	Linda Rile	Linda is Tosh's best friend. She suffers greatly when Tosh tries to fix his past mistakes.
1179	Morris Miller	No matter what Tosh do, his life nemesis, Morris, always ends up hating him.
1180	Jimbo Jones	Jimbo is Tosh's uncle. He thought he knew his nephew but has to question everything when Tosh continues to contradict himself.
1181	Paulina King	Paulina is Tosh's shrink and realizes that her patient is deeply disturbed and is trying to figure out how to stop him from hurting himself.
1182	Zach Galant	Zach is a family father who regrets all his decisions. He wishes he could go back in time to change his life and it magically happens.
1183	Carlos Mills	Carlos is a an attractive, young man who befriends the younger Zach when he comes back in time. His flaws help Zach realize his own.
1184	King Brutus	The chosen one who will pull the axe from a tree and liberate a country from oppressive rule.
1185	Mage Merloc	This mage is from days old trying to figure out where she stands in current politics. Ultimately, she just wants to ensure magic continues to exist.
1186	Ope Light	One of King Brutus' knights known for his honor, valor and deadly skills in battle. He will stand by Brutus side no matter what.
1187	King Vort	A rival king of a rival kingdom, he wants to put Burtus down for good and take the lands and resources for himself.
1188	Ed Stix	Ed is a misunderstood teenager whose passion in life who just like to chop food with his hands that have knives for fingers.
1189	Peg Losless	The person in the town that has given Ed any benefit of the doubt and has become his tentative friend.
1190	Kevin Stix	Ed's father who had knives for feet. He and had a great life until his father was eaten by a shark while they were at the beach one day.
1191	Joyce Baker	A big political figure in the town. Ed fascinates her but when she tries to court him he reacts in rage. Embarrassed she tries to sabotage his life.
1192	Mike Laser	Mike is Peg's ex-boyfriend from years ago. He hasn't gotten over the fact they broke up and is desperately jealous of the attention she gives Ed.
1193	Ben Beat	An intelligent man with a peculiar condition. Born an old man, he has spent his entire life growing younger.
1194	Caroline Orm	A morose young lady who loves a man despite all his flaws.
1195	Blanche Devers	A promiscuous woman who can show you the world.
1196	Gary Blanke	An old sailor with an adventurous, degenerate spirit and a good eye for talent.
1197	Teddy GooseFelt	The president of the United States. A crazy man with strong fortitude.
1198	Edge Snipe	A ruthless killer dressed in gold wielding a sharp blade. He is a vampire himself but tries to fight it.
1199	Ryan Reeds	The best friend and comedic sidekick. He has a crossbow and deep knowledge.
1200	Magust	An evil vampire hellbent on destroying humanity and farming for its blood supply.
1201	Miya Toshi	A lovely girl who wants to do what's best for her family. But deep down, she longs for adventure.
1202	Katsu Tinka	A high school boy who gets incredibly awkward when he gets close to girls.
1203	Mitsi Toshi	Miya's younger sister and a pain in the neck.
1204	Ayi Turiti	Katsu's best friend. Someone who wants the best for her friend but keeps questioning her choices.
1205	Jeni Jimi	The office flirt and a really pretty girl.
1206	Daniel Bones	A desperate human who has been on the run from vampires his whole life. As his kind becomes rarer, the price on his head increases.
1207	Rika Haruo	A scientist vampire who is trying to find a solution to the problem of dwindling blood supplies.
1208	Senator Turns	A vampire who wants what is best for his species, but thinks there must be a more sensible solution than the eradication of humans.
1209	Senator Lake	An evil politician who wants every human farmed for their blood.
1210	Carla Mercano	A young child who recently moved to a new house but doesn't like it at all. That is until she finds a secret labyrinth in her backyard.
1211	Carlos Matruca	A career military man who cannot seem to find his way home. He has been lost in this maze for years.
1212	El Fauno	A giant, evil faun that loves nothing more than eating the people lost in his maze.
1213	Bane Kage	Bane is a knight of the aging republic looking to find peace after all the war. Instead he finds himself escorting a woman to her death.
1214	Ron Fels	Bane's right hand man. He does not trust the woman they escort and is convinced she has magical abilities.
1215	Rosa Feyne	Rosa has been accused for the gruesome deaths of the entire town she lived in. She is manipulative and ruthless and only cares about her own survival.
1216	Princess Manaris	The chosen princess who needs to reclaim her kingdom. She rides on dragons and takes what she wants.
1217	Ron White	The bastard child of a northern lord, he has a claim to the throne but must follow his conscience and do what's right.
1218	Derek Manster	A backstabbing king killer who only cares about himself. And maybe his children.
1219	Haro Spanston	An honorable knight and good fighter, he has a claim to the throne but hides a dark secret.
1220	Hick Vulls	A young kid who dreams of one day slaying his own dragon. His heart is turned when he meets one in real life.
1221	Goby Droll	A young lady with sense of adventure and great inner strength.
1222	Kindling	A friendly dragon who loves a nice snack.
1223	Polar the Great	An evil dragon that loves to destroy things built by humans.
1224	Gunny McSlinger	Gunny is a rancher action figure equipped with lots of guns to fend for himself in the wild. He is the leader of the toys of the bedroom.
1225	Will Rocketday	An toy manufactured for evil. He enters the world of the living with his one and only goal - to destroy humanity.
1226	Fred	The owner of the bedroom - he has no idea what drama goes on in there while he is away at school.
1227	Roofus	Roofus, the dog next door, has extra sensory perception and often joins the toys on their excursions. On d-day, will he help toykind or humanity?
1228	Cranstin	He lives next to Fred and is stealing his toys one by one to burn them in a bonfire. Will the toys figure out the mystery before it's too late?
1229	Nero	Nero is a single dad tuna who loses his son to a strong current. He must put his entire life on hold to go and save him.
1230	Jasper	Jasper got reckless on a hunt with his dad and taken by a current deep into the unknown sea. He must befriend some other fish to stay alive.
1231	Doris	Doris is dolphin that Nero convinces to come along with him on the journey. It is her job to keep Nero thinking clearly about the situation.
1232	Turtle McNeal	Turtle is a human boy who has a run in with Jasper after he manages to get himself stuck in a toilet on an island.
1233	Flash Tyres	A convertible sports car who has a dream to race in the big Maine race. He's not made for professional racing but that doesn't stop him from dreaming.
1234	Hefty Pickup	Flash's friend who encourages him to follow his dreams, even if they are a little lofty.
1235	Truckus Doof	Another one of Flash's friends. Not the sharpest tool in the shed but he's as loyal as they come.
1236	Priya Millersnip	Priya wants to survive and is ready to sacrifice herself for honor. She soons find out that what she thought was honor was something else altogether.
1237	Gale Hawks	A handsome man who is also thrown in the combat zone and is ready to defend those he cares about.
1238	Tiffy Guardia	A young girl with an innocent air - she uses her wits to survive in the battle arena. She does not want to participate but has no choice.
1239	Caesar Flicks	The beautiful man who was left behind back in Primrose's hometown. He decides to wage his own battles back at home.
1240	Carl Ficks	A grumpy old man who misses his deceased wife. When a greedy neighbor threatens to take away the house, he must devise a plan to fight for it.
1241	Rodney Zhang	A teenager running away from home finds himself along for an adventure when the house he's hiding lifts off the ground.
1242	Captain Marrow	A failed pirate captain in search of glorious plunder and a nice drink. Despite being a drunk, he is the most dangerous pirate of the seven seas.
1243	Kiera Vight	A daughter of a famed pirate, she finds herself a captive of an enemy ship. When tested, it turns out she is not such a bad fighter herself.
1244	Tallahass Legols	A young crewman with noble intentions and a beautiful souls. Despite his goodness, he wants to be a pirate.
1245	Rawls Rindell	A seasoned aristocrat who wants to put an end to outlawness and pirate raids and take the booty for himself.
1246	Squidly Bubbles	A rival pirate captain who wants to use mystical powers and the occult to gain dominion of the seas and Marrow's hat.
1247	Travis Cone	Travis grew up in a perfect world. But when he hits 20, he starts to realize something is not quite right when he sees his dead mother walking around.
1248	Kylie Roll	Kylie is Travis's long-time girlfriend. She feels bad for Travis but values her job more than his life.
1249	Mitch Fills	Mitch is Travis' best friend and confidant. By contract he can't tell Travis the truth, but his conscience is screaming to do the opposite.
1250	Eddie Barris	Eddie is Travis' fake father - their fake relationship has been falling apart since Travis became a teenager.
1251	Mika Raccoon	Mika was a subject of a viral experiment that triggers an epidemic. She must fight her way through mutants to find safety with the other survivors.
1252	Dimbo Kale	Another immune subject of the experiment that fights side by side with Mika.
1253	Karl Dust	A guard that worked in Mika's facility. He survived the first wave of the virus and must join forces with Mika and Dimbo if he wants to get out alive.
1254	Gale Vostock	Part of corporate security, he tries to ensure the survival of Mika or Dimbo to ensure they can be studied to create a vaccine once back in safety.
1255	Bloodpool	A dark hero of the night who likes nothing more than some curse words and a good fight.
1256	Dopi Luls	An eager girl who aims to please and help out where possible.
1257	Joseph Smiles	The best helper any hero could ask for. He doesn't ask questions and has all the super gadgets you could ever need.
1258	Axe String	A juggernaut with a license to kill. Axe can take down any enemy with ease.
1259	Lucas Otis	The discoverer of the site while on a military mission. He is accidentally bonded to a mummy in the tomb and must find a way to break it.
1260	Lucy Maker	An archeologist sent to investigate the site. She is the only one who has enough information to figure out the mystery of the tomb.
1261	Ira Plaone	Lucas' commanding officer who wants to use the supernatural powers of the tomb for military purposes.
1262	Sharakia	1000 years ago, Sharakia, a priest, was cursed and killed after murdering one of their own. Her tomb was never meant to be opened once sealed.
1263	Vera Horesely	An innocent girl who lives a comfortable life but is quickly pulled out of that illusion.
1264	Vee Vendi	A renegade revolutionary who believes the end always justify the means.
1265	Gary Oxford	A loyal police officer who starts connecting the dots and realizes he is one of the baddies.
1266	Minister Peet	A dystopian dictator who wants to keep a firm grip on power. He takes every chance he gets to push the common folk deeper into poverty.
1267	Darkblade	An assassin with incredible skills when it comes to sneaking, climbing, fighting and stealing.
1268	Lina Paulson	A corporate scholar trying to unlock the truth behind a mystical organization.
1269	Elder Crown	An older, more experienced assassin who teaches Darkblade the ropes.
1270	Vinny Zane	A wealthy businessman who is trying to pervert an ancient ritual to increase his own power.
1271	Cory Mookalez	Cory spends most of his time alone in his room playing his uke. His family hates that he spends so much time away from them.
1272	Rico Mookalez	Cory's dead grandfather who was killed when he was just a baby. Nobody knew who had committed the crime nor knew of any motive.
1273	Alejandra Mookalez	Rico's widow. She fell into a deep depression when Rico died and does the minimum to survive.
