int	int	string	string	string	int	string
1916	9	Chivalrous	Chivalrous	侠客		
1917	9	Funny	Funny	搞笑		
1918	9	Pirate	Pirate	海盗		
1919	9	Mercenary	Mercenary	佣兵		
1920	9	Cruel	Cruel	残酷		
1921	9	Seasoned	Seasoned	沧桑		
1922	9	Intelligent	Intelligent	高智商		
1923	9	Villain	Villain	反派		
1924	9	Driver	Driver	车手		
1925	9	Sharpshooter	Sharpshooter	枪手		
1926	9	Fighter	Fighter	打斗		
1927	9	Eloquent	Eloquent	口才好		
1928	9	Loyal	Loyal	忠诚		
1929	9	Foolish	Foolish	无常识		
1930	9	Crazy	Crazy	疯狂		
1931	9	Depressed	Depressed	忧郁		
1932	9	Sexy	Sexy	性感		
1933	9	Teacher	Teacher	教师		
1934	9	Tough	Tough	硬汉		
1935	9	Love-struck	Love-struck	痴情		
1936	9	Gambler	Gambler	赌徒		
1937	9	Spy	Spy	间谍		
1938	9	Amnesiac	Amnesiac	失忆		
1939	9	Doctor	Doctor	医生		
1940	9	Greedy	Greedy	拜金		
1941	9	Senior	Senior	长者		
1942	9	Innocent	Innocent	天真		
1943	9	Conspirator	Conspirator	阴谋家		
1944	9	Child Star	Child Star	童星		
1945	9	Degenerate	Degenerate	颓废		
1946	9	Scholar	Scholar	学者		
1947	9	Reporter	Reporter	记者		
1948	9	Martial Artist	Martial Artist	功夫		
1949	9	Politician	Politician	政客		
2001	10	Male	Male	男性		
2002	10	Female	Female	女性		
2003	10	Children	Children	儿童		
2101	11	Protagonist	Protagonist	主角	6042	
2102	11	Hero	Hero	男主角	6043	
2103	11	Heroine	Heroine	女主角	6042	
2104	11	Costar	Costar	配角	6044	
2105	11	Male Costar	Male Costar	男配角	6044	
2106	11	Female Costar	Female Costar	女配角	6044	
2107	11	Villain	Villain	反派	6045	
2201	12	Dance	Dance	歌舞		
2202	12	Romance	Romance	爱情		
2203	12	Comedy	Comedy	喜剧		
2204	12	Drama	Drama	叙事		
2205	12	Action	Action	动作		
2206	12	Horror	Horror	恐怖		
2207	12	Cartoon	Cartoon	动画		
2208	12	Suspense	Suspense	悬疑		
2301	13	Secondary_property	Secondary_property	次要属性		
2302	13	Main_property	Main_property	主要属性		
2401	14	Odd_number	Odd_number	奇数升级		
2402	14	Even_numbers	Even_numbers	偶数升级		
2501	15	test095	Street Rank1	街区1档		
2502	15	test096	Street Rank2	街区2档		
2503	15	test097	Street Rank3	街区3档		
2504	15	test098	Street Rank4	街区4档		
2505	15	test099	Street Rank5	街区5档		
2506	15	test100	Street Rank6	街区6档		
2507	15	test101	Street Rank7	街区7档		
2508	15	test102	Street Rank8	街区8档		
2509	15	test103	Street Rank9	街区9档		
2510	15	test104	Street Rank10	街区10档		
2511	15	test105	City Rank1	城市1档		
2512	15	test106	City Rank2	城市2档		
2513	15	test107	City Rank3	城市3档		
2514	15	test108	City Rank4	城市4档		
2515	15	test109	City Rank5	城市5档		
2516	15	test110	City Rank6	城市6档		
2517	15	test111	City Rank7	城市7档		
2518	15	test112	City Rank8	城市8档		
2519	15	test113	City Rank9	城市9档		
2520	15	test114	City Rank10	城市10档		
2521	15	test115	Country Rank1	国家1档		
2522	15	test116	Country Rank2	国家2档		
2523	15	test117	Country Rank3	国家3档		
2524	15	test118	Country Rank4	国家4档		
2525	15	test119	Country Rank5	国家5档		
2526	15	test120	Country Rank6	国家6档		
2527	15	test121	Country Rank7	国家7档		
2528	15	test122	Country Rank8	国家8档		
2529	15	test123	Country Rank9	国家9档		
2530	15	test124	Country Rank10	国家10档		
2531	15	test125	Globe Rank1	全球1档		
2532	15	test126	Globe Rank2	全球2档		
2533	15	test127	Globe Rank3	全球3档		
2534	15	test128	Globe Rank4	全球4档		
2535	15	test129	Globe Rank5	全球5档		
2536	15	test130	Globe Rank6	全球6档		
2537	15	test131	Globe Rank7	全球7档		
2538	15	test132	Globe Rank8	全球8档		
2539	15	test133	Globe Rank9	全球9档		
2540	15	test134	Globe Rank10	全球10档		
2601	16	test135	Dance_exp	歌舞_经验		
2602	16	test136	Romance_exp	爱情_经验		
2603	16	test137	Comedy_exp	喜剧_经验		
2604	16	test138	Drama_exp	叙事_经验		
2605	16	test139	Action_exp	动作_经验		
2606	16	test140	Horror_exp	恐怖_经验		
2607	16	test141	Cartoon_exp	动画_经验		
2608	16	test142	Suspense _exp	悬疑_经验		
